,date,p_change,pred
0,2019-02-25,4.53,
1,2019-02-26,-1.77,
2,2019-02-27,9.31,
3,2019-02-28,-3.89,
4,2019-03-01,1.87,
5,2019-03-04,0.3,
6,2019-03-05,4.26,
7,2019-03-06,1.02,
8,2019-03-07,-0.87,
9,2019-03-08,-5.68,
10,2019-03-11,6.34,
11,2019-03-12,9.01,
12,2019-03-13,-4.93,
13,2019-03-14,-2.52,
14,2019-03-15,-0.58,
15,2019-03-18,2.31,
16,2019-03-19,0.42,
17,2019-03-20,1.13,
18,2019-03-21,-0.7,
19,2019-03-22,-1.82,
20,2019-03-25,-2.71,
21,2019-03-26,-3.38,
22,2019-03-27,0.76,
23,2019-03-28,0.0,
24,2019-03-29,2.41,
25,2019-04-01,2.8,
26,2019-04-02,-0.57,
27,2019-04-03,0.58,
28,2019-04-04,-1.0,
29,2019-04-08,-2.03,
30,2019-04-09,0.44,
31,2019-04-10,-0.44,
32,2019-04-11,-2.22,
33,2019-04-12,0.0,
34,2019-04-15,-0.45,
35,2019-04-16,5.16,
36,2019-04-17,-1.15,
37,2019-04-18,0.29,
38,2019-04-19,4.08,
39,2019-04-22,1.12,
40,2019-04-23,-2.77,
41,2019-04-24,1.0,
42,2019-04-25,-3.94,
43,2019-04-26,-1.61,
44,2019-04-29,0.0,
45,2019-04-30,-0.6,
46,2019-05-06,-9.14,
47,2019-05-07,0.33,
48,2019-05-08,-1.81,
49,2019-05-09,-2.51,
50,2019-05-10,4.3,
51,2019-05-13,-1.98,2.0
52,2019-05-14,0.67,2.0
53,2019-05-15,1.67,3.0
54,2019-05-16,-0.98,3.0
55,2019-05-17,-2.98,3.0
56,2019-05-20,0.51,3.0
57,2019-05-21,2.38,3.0
58,2019-05-22,-1.0,3.0
59,2019-05-23,-2.01,3.0
60,2019-05-24,-2.06,3.0
61,2019-05-27,2.45,3.0
62,2019-05-28,3.24,3.0
63,2019-05-29,-1.32,3.0
64,2019-05-30,-0.67,3.0
65,2019-05-31,0.0,3.0
66,2019-06-03,2.7,3.0
67,2019-06-04,0.66,3.0
68,2019-06-05,3.26,3.0
69,2019-06-06,-3.95,3.0
70,2019-06-10,1.48,3.0
71,2019-06-11,1.78,4.0
72,2019-06-12,-1.59,4.0
73,2019-06-13,-0.32,4.0
74,2019-06-14,-1.46,4.0
75,2019-06-17,0.0,4.0
76,2019-06-18,0.0,4.0
77,2019-06-19,0.49,4.0
78,2019-06-20,2.46,4.0
79,2019-06-21,0.32,4.0
80,2019-06-24,-0.64,4.0
81,2019-06-25,-1.28,4.0
82,2019-06-26,0.33,4.0
83,2019-06-27,1.47,4.0
84,2019-06-28,-0.81,4.0
85,2019-07-01,2.76,4.0
86,2019-07-02,-0.47,4.0
87,2019-07-03,-1.59,4.0
88,2019-07-04,0.16,4.0
89,2019-07-05,-0.16,4.0
90,2019-07-08,-3.06,4.0
91,2019-07-09,-0.83,4.0
92,2019-07-10,-0.67,4.0
93,2019-07-11,0.68,2.0
94,2019-07-12,0.0,2.0
95,2019-07-15,0.34,2.0
96,2019-07-16,0.33,2.0
97,2019-07-17,-0.17,2.0
98,2019-07-18,-1.17,2.0
99,2019-07-19,0.17,2.0
100,2019-07-22,-1.69,2.0
101,2019-07-23,0.34,2.0
102,2019-07-24,1.71,2.0
103,2019-07-25,0.0,2.0
104,2019-07-26,0.17,2.0
105,2019-07-29,0.34,2.0
106,2019-07-30,-0.17,2.0
107,2019-07-31,-0.67,2.0
108,2019-08-01,-1.01,2.0
109,2019-08-02,-2.73,2.0
110,2019-08-05,-1.75,2.0
111,2019-08-06,-2.85,2.0
112,2019-08-07,-0.55,2.0
113,2019-08-08,0.55,2.0
114,2019-08-09,-2.94,2.0
115,2019-08-12,2.27,2.0
116,2019-08-13,0.0,2.0
117,2019-08-14,0.18,2.0
118,2019-08-15,5.9,2.0
119,2019-08-16,-1.92,2.0
120,2019-08-19,2.31,2.0
121,2019-08-20,3.82,2.0
122,2019-08-21,2.84,2.0
123,2019-08-22,0.0,2.0
124,2019-08-23,-1.63,2.0
125,2019-08-26,-1.32,2.0
126,2019-08-27,1.17,2.0
127,2019-08-28,-1.82,2.0
128,2019-08-29,0.34,2.0
129,2019-08-30,-1.68,2.0
130,2019-09-02,1.71,2.0
131,2019-09-03,0.67,2.0
132,2019-09-04,1.34,2.0
133,2019-09-05,-0.66,2.0
134,2019-09-06,2.65,2.0
135,2019-09-09,2.26,2.0
136,2019-09-10,5.69,2.0
137,2019-09-11,-3.89,2.0
138,2019-09-12,0.0,4.0
139,2019-09-16,-0.78,4.0
140,2019-09-17,-2.67,4.0
141,2019-09-18,-0.48,4.0
142,2019-09-19,1.13,4.0
143,2019-09-20,-0.96,4.0
144,2019-09-23,-1.29,4.0
145,2019-09-24,1.31,4.0
146,2019-09-25,-0.97,4.0
147,2019-09-26,-1.63,4.0
148,2019-09-27,0.83,4.0
149,2019-09-30,-1.15,4.0
150,2019-10-08,0.33,2.0
151,2019-10-09,0.5,2.0
152,2019-10-10,0.49,2.0
153,2019-10-11,0.49,2.0
154,2019-10-14,0.49,2.0
155,2019-10-15,0.65,2.0
156,2019-10-16,-1.45,2.0
157,2019-10-17,1.48,2.0
158,2019-10-18,-1.62,2.0
159,2019-10-21,1.15,2.0
160,2019-10-22,-1.3,2.0
161,2019-10-23,-2.63,2.0
162,2019-10-24,0.0,2.0
163,2019-10-25,0.51,2.0
