,Unnamed: 0,代号,时间,链接,标题,内容,结果,和值
0,0,688148,2021-08-14 08:13:56,http://stock.eastmoney.com/a/202108142046249873.html,芳源股份：融资净偿还4358.35万元，融资余额1.73亿元（08-13）,"

芳源股份融资融券信息显示，2021年8月13日融资净偿还4358.35万元；融资余额1.73亿元，较前一日下降20.12%
融资方面，当日融资买入6472.54万元，融资偿还1.08亿元，融资净偿还4358.35万元。融券方面，融券卖出14.16万股，融券偿还59.51万股，融券余量181.07万股，融券余额5667.63万元。融资融券余额合计2.3亿元。
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
",1,4
1,1,688148,2021-08-13 11:37:42,http://finance.eastmoney.com/a/202108132044861127.html,江企上市奉献“帽子戏法”,"8月份江门资本市场建设“梅开二度”！8月11日，广东绿岛风空气系统股份有限公司(简称“绿岛风”)在深交所创业板鸣钟上市，成为我国新风系统行业的第一股。8月6日，广东芳源环保股份有限公司(简称“芳源股份”)在上交所科创板“云敲锣”，成为我市首家在科创板上市的企业。
加上5月26日在深交所上市的奇德新材，在不到3个月的时间里，3家江企接连登陆资本市场，至此，江门已拥有境内外上市企业23家，资本市场“江门板块”进一步扩容升级，今年以来，江企上市“独中三元”，奉献了精彩的“帽子戏法”。
“帽子戏法”的背后，是江企上市步伐全面提速，这凝聚着企业和政府的共同努力。“去年我市出台了‘金种子’三年行动方案，进一步加大力度培育企业上市，力争实现我市上市企业数量三年内倍增。”江门市金融工作局相关负责人说，今后还要进一步促进江门企业上市，通过发挥上市企业的引领作用，推动我市经济高质量发展。
随着越来越多的“金种子”发芽，上市江企发展进入快车道。绿岛风董事长李清泉表示，企业上市有助于提升品牌影响力，对企业拓宽融资渠道、吸引人才聚集、提高员工的企业文化自信等方面均具有积极意义，可进一步增强企业的综合实力。芳源股份董事长罗爱平也充满期待地说：“登陆资本市场将为公司发展带来更广阔的空间，公司要更好地抓住新能源汽车动力电池市场快速增长带来的机遇，打造全球领先的新能源材料制造企业。”
文/图江门日报记者陈倩婷吕胜根
芳源股份
彰显江门制造的科技实力
上市首日大涨660%！作为新能源领域的“生力军”，芳源股份初登科创板舞台便备受市场青睐。
芳源股份成立于2002年6月，主要从事锂电池三元正极材料前驱体和镍电池正极材料的研发、生产和销售，主营业务为新材料领域。公司产品主要用于锂电池和镍电池的制造，并最终应用于新能源汽车动力电池、电动工具、储能设备及电子产品等领域。
值得一提的是，芳源股份是国内较早实现NCA三元前驱体量产的企业，近3年NCA三元前驱体的出口量国内排名第一。2017年开始，公司向松下销售高镍NCA三元前驱体，供松下制造高能量密度三元锂电池，最终用于特斯拉电动汽车。
本次，芳源股份的成功上市，不仅实现了我市企业科创板上市“零的突破”，还对外彰显了我市工业制造的科技实力。“芳源环保‘一击即中’科创板，是我市全力支持实体经济发展、狠抓科技创新的重要体现，将为我市更多科创企业在科创板发行上市起到良好的示范带动效应。”江门市金融工作局相关负责人说。
罗爱平表示，登陆科创板是企业发展史上一个重要的里程碑，对企业多年来专注科研创新给予了极大的肯定和鼓舞。未来，企业将紧紧把握契机，实行“在用一代、储备一代、研发一代”的发展策略，把握好新能源汽车动力电池市场快速增长带来的市场机遇，致力发展成为资源高效循环利用及先进新能源材料制造的全球领先企业。
近年来，在全球主要国家的政策推动下，全球新能源汽车市场销量不断走高，进而带动三元正极材料以及三元前驱体出货量的快速增长。GGII预计，2025年全球三元前驱体出货量将达到148万吨，未来发展空间广阔。“上市后，芳源股份有望以更强大的实力，去持续享受行业的红利。”罗爱平说。
在保荐机构中国国际金融股份有限公司董事总经理、保荐代表人陈泉泉看来，芳源股份定能牢牢把握此次登陆资本市场的宝贵机遇，不断强化公司的核心竞争力，以更加优异的经营业绩回报股东和广大投资者，以更加优质的产品、更加务实的作风和更加优质的服务回报社会。
芳源股份本次发行募集资金总额为3.66亿元，扣除发行费用后，募集资金净额为3.01亿元。芳源股份业绩预告显示，预计2021年上半年实现营业收入8.3亿—8.8亿元，同比增长182.90%—199.94%；归母净利润4000万—4500万元，同比增长867.38%—988.30%。
绿岛风
抢占新风行业发展先机
经历4年多的上市筹备，“80后”李清泉带领绿岛风，成功敲响了创业板上市的钟声，国内新风行业第一股由此诞生。从乡镇地区一家家电企业，发展为如今国内新风行业的标杆企业，绿岛风到底是怎样的一家企业？又有何成功秘诀？
绿岛风成立于1992年，前身为台山港益电器有限公司，长期从事室内通风系统产品的设计研发、生产及销售，主要产品覆盖新风系列产品、风幕机两大品类，拥有上百个系列、数千种型号，产品功能齐全。目前，该公司产品被广泛应用于北京大兴国际机场、四川绵阳方特游乐园、肯德基等交通枢纽、文旅景点、办公厂房、房地产项目以及餐饮连锁机构，覆盖领域越来越广。
近年来，在国家政策和市场需求的双重推动下，新风系统行业迎来发展风口，催生了一批新风企业。不过，行业内的企业数量虽多，规模却较小，在证券市场上更是一片空白。2018年1月，绿岛风瞄准市场先机，启动股改进军资本市场，抢占国内新风行业第一股。
“伴随着行业的市场需求不断加大以及创业板注册制的适行，公司管理层认为有必要找准契机，通过登陆证券资本市场以便更有效率地在该领域做强做大，为中国新风行业在全球工业发展中争取更佳位置。”李清泉说。
招股说明书显示，目前，按照销售规模划分，绿岛风为国内新风系统第一梯队企业，研发生产水平成熟，销售网络广泛，品牌知名度高，市场竞争力强。根据奥维云网报告，2019年新风行业市场规模158亿元。以绿岛风新风系列产品销售收入、合理渠道毛利率估算，公司产品市场占有率约为3%至4%。
本次IPO，绿岛风计划募集3.99亿元，用于年产新风类产品30万台建设项目、研发中心扩建项目、营销网络建设项目，其中，年产新风类产品30万台建设项目投产后，公司每年将新增30万台的新风类产品产能，公司生产能力将得到大幅提升；研发中心扩建项目将以主营业务产品为主，对原有的换气扇、浴霸、新风系统、风幕机及风机、除湿机等进行智能化、高效化、低能效等功能应用及使用性能的提升，将为公司新产品研发提供硬件基础，以更好响应市场变化，以及提升产品设计和制造水平，为公司的长期发展提供技术储备。
此外，营销网络建设项目主要是在公司原有布局基础上，重点加强区域体验中心店和经销渠道网点的建设，完成对销售渠道更加全面立体化的布局。“目前，公司已研发出相关的软件系统，导入建筑平面图，就可以按照客户的需求，智能计算、形成一套完整的室内通风系统解决方案。”李清泉说。
最终，绿岛风共募资4.11亿元，比原计划多1200多万元。面对投资者的支持，李清泉回应说：“公司将以上市为契机，扩充公司产能，提升公司研发实力，加强渠道拓展和品牌建设，同时引进各个方面的优秀人才，提升经营管理水平，将公司打造成为世界一流的室内通风系统企业，为客户创造价值，以优异的业绩回报股东、回报社会！”
江门市金融工作局相关负责人认为，绿岛风作为我市“5+N”产业集群中家电产业链的重点企业，上市后将进一步发挥上市公司的引领作用，促进产业链高质量发展，打造“金链条”，助力我市加快培育发展“5+N”产业集群。
反响
提振江门企业上市信心
上市企业是地方经济发展的名片，发挥着重要的标杆引领作用。今年江企上市之所以能奉献精彩的“帽子戏法”，除了企业的硬实力外，还与地方政府对企业上市的大力推动密不可分。
去年，为加大力度培育企业上市，江门市实施“金种子”三年行动计划，吸引头部券商、基金及早介入对企业培育，推动科技与金融资本有机对接，不断加大对企业上市的政策扶持。同时，我市多部门联合为“金种子”企业解决用地、用电、环保等上市过程中遇到的难题，助力更多江门企业登上资本市场舞台。
今年以来，除了已上市的奇德新材、芳源股份以及绿岛风外，我市还有申报IPO并获受理公司1家、进入上市辅导公司4家、完成股改公司多家，形成上市公司“雁形”后备梯队，资本市场“江门板块”持续壮大。“接下来，我市将继续发挥好资本市场服务基地的作用，激励全市更多企业拥抱资本市场，借势腾飞，以企业自身的高质量发展，助力实体经济和地方经济高质量发展。”江门市金融工作局相关负责人说。
随着越来越多“金种子”企业成功登陆资本市场，企业上市的信心不断增强。“百舸争流千帆竞，乘风破浪正当时。在江门市各级政府部门的引导和帮助下，江企上市的步伐加快，让我们这些‘金种子’企业倍受鼓舞，更加坚定了上市决心。”广东博盈特焊技术股份有限公司副总经理刘一宁说。
“近期江门连续3家企业成功上市，对上市有所疑惑的本地企业带来强心针，坚定企业上市的信心，加快上市企业规模的形成。”国盛证券江门白石大道营业部投资顾问张俊洋说，江企上市进程加快，与近年江门市“金种子”行动的大力扶持密不可分，同时监管层面通过注册制优化上市审核流程，也为中小企业加快打开资本市场大门，为企业上市融资发展带来便捷和信心。此外，登陆资本市场后，江企即可获得募集资金，有助于加快自身发展或转型，在未来的行业竞争中更具底气和抗风险能力，同时企业后续亦可通过资本市场并购重组的方式快速做大做强。这种示范和带动作用正在显现。
",1,155
2,2,688148,2021-08-13 08:12:17,http://stock.eastmoney.com/a/202108132044213077.html,芳源股份：融资余额环比下降13.54%，降幅两市第12（08-12）,"

芳源股份融资融券信息显示，2021年8月12日融资净偿还3391.37万元；融资余额2.17亿元，较前一日下降13.54%，降幅两市第12。
融资方面，当日融资买入5525.64万元，融资偿还8917.01万元，融资净偿还3391.37万元。融券方面，融券卖出34.45万股，融券偿还22.48万股，融券余量226.43万股，融券余额7924.99万元。融资融券余额合计2.96亿元。
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
",1,4
3,3,688148,2021-08-12 08:19:15,http://finance.eastmoney.com/a/202108122042216942.html,我市3项目入围半决赛,"○本报讯记者王亚娇通讯员周珊珊近日，广东省首届农村创业创新大赛评审会举行。经过专家评审，结合实地调研情况，共有60个项目脱颖而出，我市有3个项目入围半决赛。
其中，河源忠仁生物科技有限公司的大蒜深加工产业园项目、东源县梨花屋舍入选初创组半决赛，河源市美芳源食品有限公司的腐竹加工及大豆种植标准化基地建设入选成长组半决赛。
据悉，本次大赛旨在进一步赋能南粤大地乡村振兴，树立广东省农村创业创新先进典型，总结宣传农村创业创新实践成效，形成以创业带就业、以就业促增收的良好氛围。参赛项目根据经营主体的创办时间和营业收入情况，分设初创组和成长组，各评审专家根据创业创新项目的“创新性、绿色发展、示范带动性、核心竞争力”4个关键指标进行评审考核，以公平公正的原则、严格谨慎的态度评选出具有广东特色的高质量项目。活动共吸引了全省231个项目报名，其中60个项目入围半决赛。
",1,15
4,4,688148,2021-08-12 08:08:13,http://stock.eastmoney.com/a/202108122042163425.html,芳源股份：融资净买入321.2万元，融资余额2.51亿元（08-11）,"

芳源股份融资融券信息显示，2021年8月11日融资净买入321.2万元；融资余额2.51亿元，较前一日增加9.59%。
融资方面，当日融资买入6120.63万元，融资偿还5799.42万元，融资净买入321.2万元。融券方面，融券卖出15.02万股，融券偿还35万股，融券余量214.46万股，融券余额7248.76万元。融资融券余额合计3.23亿元。
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
",1,4
5,5,688148,2021-08-11 08:13:00,http://stock.eastmoney.com/a/202108112040064818.html,芳源股份：融资余额环比增加37.88%，增幅两市第五（08-10）,"

芳源股份融资融券信息显示，2021年8月10日融资净买入6280.78万元；融资余额2.29亿元，较前一日增加37.88%，增幅两市第五。
融资方面，当日融资买入1.17亿元，融资偿还5461.98万元，融资净买入6280.78万元。融券方面，融券卖出36.52万股，融券偿还33.2万股，融券余量234.44万股，融券余额8085.84万元。融资融券余额合计3.09亿元。
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
",1,4
6,6,688148,2021-08-11 08:06:34,http://finance.eastmoney.com/a/202108112040021865.html,芳源股份罗爱平： 科学家创业要选对行业选准客户,"

近日，芳源股份登陆科创板，上市首日大涨640%，成为科创板又一只主打锂电池材料的热门股。这对芳源股份创始人、董事长罗爱平而言，无疑是一大肯定与告慰。“2002年，我以大学教授的身份创业，当时有不少人感到惋惜。我那时确实有很多不懂的地方，但还是勇敢地迈出了那一步。”
这一步，让中国多了一位科创型企业家。在创业前，罗爱平一直从事有色金属分离提纯的科研和教学工作，抱着促进环保和资源循环利用的想法，他创立了芳源股份。回顾创业经历，他有一点感触颇深：科学家创业要选对行业和客户，因为跟随其成长往往会事半功倍。
科学家创业要选对行业
罗爱平创业前不仅是大学教授，而且是广东本地的环保专家。彼时，广东一些金属表面处理企业在生产过程中会随意排放废弃的有色金属。作为环保专家，罗爱平每每看到这种乱象，就会心生忧虑，这些废弃的有色金属可能对环境造成严重污染，有没有两全其美的处理方法？能不能循环利用、变废为宝？
念念不忘，必有回响。2002年，一心想将所学匹配社会发展需求的罗爱平创立了芳源股份，该公司最初从事镍、钴等废弃金属资源循环回收综合利用。
由于罗爱平此前已积淀不少科研实力，芳源股份成立之初就被注入技术创新基因。截至今年6月22日，公司取得专利41项，包括9项发明专利。其中，以“萃杂不萃镍”技术为代表的专利，改进了国内镍湿法冶金行业的工艺流程，降低了高纯硫酸镍的制造成本。
不过，科学家创业有个特点，就是技术优势突出，商业化能力有所欠缺。罗爱平认为，科学家创业要选对行业，公司跟随行业发展有更多成长机会，也有助于解决商业化能力有所欠缺的问题。
如今，芳源股份结合此前业务并顺应新能源汽车发展潮流，从事锂电池三元正极材料前驱体和镍电池正极材料的研发、生产和销售，产品主要用于锂电池和镍电池的制造，并最终应用于新能源汽车动力电池、电动工具、储能设备及电子产品等领域。
今年上半年，芳源股份NCA(镍钴铝酸锂)三元前驱体、NCM(镍钴锰酸锂)三元前驱体、硫酸钴等产品销量增加，预计实现营业收入8.3亿元至8.8亿元，同比增长182.90%至199.94%；归母净利润4000万元至4500万元，同比增长867.38%至988.30%。
大客户战略带来全面提升
芳源股份能走到今天，一个重要原因是坚持大客户战略，在公司产能规模受限的情况下，集中主要资源，保证对优质客户的供应。
罗爱平介绍，从产业链发展情况看，国内外动力电池市场集中度都很高，排名前十的电池企业占据了逾八成的市场份额。上游企业想要快速发展，必须要实施大客户战略。
芳源股份正是借助与松下的合作，实现了跨越式发展。2017年，公司开始向松下销售高镍NCA三元前驱体，用于制造高能量密度三元锂电池，最终应用于特斯拉电动汽车。到了2018年，芳源股份主营业务收入同比增长338.08%。
此后，受益于新能源汽车的蓬勃发展，松下对芳源股份产品的需求逐步加大。芳源股份招股书显示，2018年至2020年，公司NCA三元前驱体贡献毛利占主营业务毛利的比例分别为83.98%、94.17%和91.89%，是公司最主要的盈利来源。
此外，通过与松下的合作，芳源股份获得了全方位提升。罗爱平表示：“松下对供应商产品的品质要求很严格。芳源股份经过两年努力，才在产品质量、管理体系等方面获得了松下的认证。”
目前，芳源股份正加快与其他大客户的进一步合作。招股书显示，公司正与贝特瑞、天力锂能、科恒股份、杉杉能源、三星SDI及当升科技等客户进行合作开发，以提高NCM三元前驱体的销售量。
借力资本市场抢抓行业机遇
当下，产能受限已成为芳源股份一大发展瓶颈。伴随着新能源汽车及动力电池企业的产能扩张，芳源股份凭借在高镍NCA三元前驱体技术上的优势，主要客户订单不断增加，现有产能无法满足客户日益增长的高端化、定制化需求。
罗爱平认为，对于公司所处的新能源汽车行业，可以清晰地预判之后有大量需求。公司要抓住商机快速扩产，才能形成规模效益。快速扩张对资源和资金有大量需求，离不开资本市场的助力。
芳源股份计划将募集资金投向年产5万吨高端三元锂电前驱体(NCA、NCM)和1万吨电池氢氧化锂项目。其中，5万吨高端三元锂电前驱体(NCA、NCM)项目的实施，将极大缓解公司供应紧张的局面，充分发挥公司高镍三元前驱体的技术和先发优势，并提升高镍三元前驱体产品的市场占有率。
三元前驱体是三元正极材料的核心材料。近年来，随着三元正极材料的出货量不断提升，三元前驱体市场需求也在不断增长。高工产研数据显示，2019年全球三元前驱体需求量为33.4万吨，预计到2025年将达148万吨，2019年至2025年的复合增长率为28.2%。
“公司及同行业上市公司将持续扩产，以保障新能源汽车产业链稳健发展，在发展中求共赢。”罗爱平充满信心地表示，芳源股份上市后将迎来新一轮的跨越式发展。
",1,94
7,7,688148,2021-08-10 08:11:30,http://stock.eastmoney.com/a/202108102037905087.html,芳源股份：融资余额环比增加32.75%，增幅两市第12（08-09）,"

芳源股份融资融券信息显示，2021年8月9日融资净买入4090.49万元；融资余额1.66亿元，较前一日增加32.75%，增幅两市第12。
融资方面，当日融资买入1.25亿元，融资偿还8382.64万元，融资净买入4090.49万元。融券方面，融券卖出23.83万股，融券偿还113.51万股，融券余量231.12万股，融券余额8736.22万元。融资融券余额合计2.53亿元。
免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
",1,4
8,8,688148,2021-08-09 19:04:53,http://stock.eastmoney.com/a/202108092037455237.html,13只科创板股尾盘现大额资金净流入,"8月9日科创板主力资金全天净流出25.82亿元，其中，尾盘主力资金净流出1.41亿元，13股受资金青睐，尾盘净流入资金超1000万元。
今日科创板股，上涨的有204只，涨停的有高测股份等1只，下跌的有116只。
资金流向方面，证券时报·数据宝统计显示，尾盘主力资金净流入的有141只，其中，13只个股尾盘主力资金净流入超1000万元，厦钨新能尾盘主力资金净流入4341.91万元，净流入资金居首；固德威、芳源股份紧随其后，尾盘净流入资金分别为2707.49万元、2624.71万元。尾盘主力资金净流出的有176只，净流出资金最多的是中芯国际，该股今日下跌5.08%，尾盘主力资金净流出7791.90万元，其次是石头科技、晶丰明源，尾盘净流出分别为3009.10万元、1847.33万元。
上市5日内的厦钨新能今日下跌4.04%，尾盘主力资金净流入4341.91万元，芳源股份今日上涨8.62%，尾盘主力资金净流入2624.71万元；尾盘净流出资金较多的是复旦微电，净流出921.05万元。(数据宝)
尾盘主力资金净流入资金排名
",1,21
9,9,688148,2021-08-09 19:03:29,http://stock.eastmoney.com/a/202108092037454422.html,科创板资金动向：4股主力资金净流入超5000万元,"沪深两市全天主力资金净流出215.61亿元，其中，科创板主力资金净流出25.82亿元，主力资金净流入的有124只股，主力资金净流出的有198只股。
证券时报·数据宝统计显示，今日科创板股上涨的有204只，涨停的有高测股份等1只，下跌的有116只。其中，上市5日内的有芳源股份、厦钨新能等，今日涨幅较高的有芳源股份、复旦微电，涨幅为8.62%、0.02%，跌幅较高的有厦钨新能，跌幅为4.04%。
资金流向方面，今日主力资金净流入的科创板股共有124只，其中，4只个股主力资金净流入超5000万元，芳源股份主力资金净流入1.07亿元，净流入资金居首；固德威、金山办公紧随其后，全天净流入资金分别为9426.39万元、8376.69万元。主力资金净流出的有198只，净流出资金最多的是中芯国际，该股今日下跌5.08%，全天主力资金净流出11.96亿元，其次是中微公司、华润微，主力资金净流出分别为2.33亿元、1.80亿元。
上市5日内的芳源股份今日上涨8.62%，主力资金净流入1.07亿元，厦钨新能今日下跌4.04%，主力资金净流入2862.19万元；资金净流出较多的是复旦微电，今日主力资金净流出2911.37万。
从主力资金连续性进行观察，共有23只个股主力资金连续3个交易日以上持续净流入，连续流入天数最多的是键凯科技，该股已连续9个交易日净流入；连续净流入天数较多的还有石头科技、霍莱沃等，主力资金分别连续流入8天、7天。主力资金连续流出的个股有103只，连续净流出天数最多的是会通股份、兴图新科等2只股，主力资金均连续净流出16天。(数据宝)
主力资金净流入排名
",1,32
