,date,p_change,pred,pred_result
0,2020-11-03,2.33,2,0
1,2020-11-04,-0.83,2,1
2,2020-11-05,1.88,2,0
3,2020-11-06,0.2,2,0
4,2020-11-09,1.02,2,0
5,2020-11-10,-1.22,2,1
6,2020-11-11,1.03,2,0
7,2020-11-12,-1.42,2,1
8,2020-11-13,-1.44,2,1
9,2020-11-16,0.63,2,0
10,2020-11-17,0.42,2,0
11,2020-11-18,0,2,1
12,2020-11-19,-0.21,2,1
13,2020-11-20,-0.21,2,1
14,2020-11-23,1.46,2,0
15,2020-11-24,0,2,1
16,2020-11-25,0,2,1
17,2020-11-26,0.41,2,0
18,2020-11-27,0.41,2,0
19,2020-11-30,-0.41,2,1
20,2020-12-01,1.02,2,0
21,2020-12-02,-0.61,2,1
22,2020-12-03,-1.02,2,1
23,2020-12-04,-0.82,2,1
24,2020-12-07,-1.03,2,1
25,2020-12-08,0.21,2,0
26,2020-12-09,-0.83,2,1
27,2020-12-10,-1.05,2,1
28,2020-12-11,-0.64,2,1
29,2020-12-14,-0.21,2,1
30,2020-12-15,-0.43,2,1
31,2020-12-16,-0.43,2,1
32,2020-12-17,0.65,2,0
33,2020-12-18,0.86,2,0
34,2020-12-21,-1.07,2,1
35,2020-12-22,-2.15,2,1
36,2020-12-23,-0.66,2,1
37,2020-12-24,-1.33,2,1
38,2020-12-25,0.9,2,0
39,2020-12-28,0.22,2,0
40,2020-12-29,-0.22,2,1
41,2020-12-30,-0.89,2,1
42,2020-12-31,0.23,2,0
43,2021-01-04,-2.92,2,1
44,2021-01-05,-0.92,2,1
45,2021-01-06,2.33,2,0
46,2021-01-07,-2.51,3,0
47,2021-01-08,0.47,3,1
48,2021-01-11,2.09,3,1
49,2021-01-12,1.37,3,1
50,2021-01-13,4.04,3,1
51,2021-01-14,0.86,3,1
52,2021-01-15,-0.86,3,0
53,2021-01-18,-0.86,3,0
54,2021-01-19,-1.09,3,0
55,2021-01-20,-1.76,3,0
56,2021-01-21,-0.67,3,0
57,2021-01-22,-2.03,3,0
58,2021-01-25,-1.38,2,1
59,2021-01-26,1.64,2,0
60,2021-01-27,-0.69,2,1
61,2021-01-28,-1.85,2,1
62,2021-01-29,-1.18,2,1
63,2021-02-01,-0.24,2,1
64,2021-02-02,0.24,2,0
65,2021-02-03,-1.43,2,1
66,2021-02-04,-2.42,2,1
67,2021-02-05,0,2,1
68,2021-02-08,0.74,2,0
69,2021-02-09,0.74,2,0
70,2021-02-10,0,2,1
71,2021-02-18,3.18,2,0
72,2021-02-19,4.03,2,0
73,2021-02-22,2.05,2,0
74,2021-02-23,-2.23,2,1
75,2021-02-24,-0.46,2,1
76,2021-02-25,1.15,2,0
77,2021-02-26,-1.81,2,1
78,2021-03-01,3.46,2,0
