,Unnamed: 0,date,sum,positive,%
0,0,2021-08-1,8,8,1.0
1,1,2021-08-0,40,26,0.65
2,2,2021-07-3,42,28,0.6666666666666666
3,3,2021-07-2,58,36,0.6206896551724138
4,4,2021-07-1,63,39,0.6190476190476191
5,5,2021-07-0,70,42,0.6
6,6,2021-06-1,71,41,0.5774647887323944
7,7,2021-06-0,73,41,0.5616438356164384
8,8,2021-05-2,76,44,0.5789473684210527
9,9,2021-05-1,78,46,0.5897435897435898
10,10,2021-04-0,79,47,0.5949367088607594
11,11,2021-03-2,80,48,0.6
12,12,2021-03-1,81,49,0.6049382716049383
13,13,2021-03-0,82,50,0.6097560975609756
14,14,2021-02-2,84,48,0.5714285714285714
15,15,2021-02-0,86,48,0.5581395348837209
16,16,2021-01-2,89,49,0.550561797752809
17,17,2021-01-0,97,45,0.4639175257731959
18,18,2020-12-3,100,46,0.46
