date,open,high,close,low,volume,p_change
2019-02-25,6.18,6.29,6.23,6.03,5120536.5,4.53
2019-02-26,6.23,6.26,6.12,6.08,3428864.75,-1.77
2019-02-27,6.08,6.73,6.69,6.08,8689715.0,9.31
2019-02-28,6.57,6.66,6.43,6.41,4326306.5,-3.89
2019-03-01,6.5,6.59,6.55,6.37,3156725.0,1.87
2019-03-04,6.7,6.88,6.57,6.5,4582494.0,0.3
2019-03-05,6.57,6.88,6.85,6.5,4516174.0,4.26
2019-03-06,6.86,7.18,6.92,6.8,4344966.5,1.02
2019-03-07,6.86,6.97,6.86,6.73,3158577.75,-0.87
2019-03-08,6.68,6.75,6.47,6.45,3358607.0,-5.68
2019-03-11,6.42,7.06,6.88,6.42,4114746.75,6.34
2019-03-12,6.94,7.57,7.5,6.85,9446195.0,9.01
2019-03-13,7.3,7.39,7.13,6.99,6040751.0,-4.93
2019-03-14,7.1,7.1,6.95,6.75,3902666.75,-2.52
2019-03-15,6.98,7.07,6.91,6.81,2730864.25,-0.58
2019-03-18,6.98,7.08,7.07,6.83,2930184.5,2.31
2019-03-19,7.05,7.13,7.1,7.0,2232741.25,0.42
2019-03-20,7.15,7.4,7.18,7.05,3208736.0,1.13
2019-03-21,7.18,7.23,7.13,7.07,2311302.5,-0.7
2019-03-22,7.11,7.12,7.0,6.89,2474183.0,-1.82
2019-03-25,6.83,6.92,6.81,6.8,2050295.62,-2.71
2019-03-26,6.82,6.87,6.58,6.54,2529152.25,-3.38
2019-03-27,6.62,6.69,6.63,6.54,1577853.38,0.76
2019-03-28,6.6,6.78,6.63,6.5,1650964.25,0.0
2019-03-29,6.59,6.82,6.79,6.51,2431838.5,2.41
2019-04-01,6.9,7.09,6.98,6.86,3261908.0,2.8
2019-04-02,6.99,7.05,6.94,6.89,2398370.5,-0.57
2019-04-03,6.9,7.0,6.98,6.85,1964477.5,0.58
2019-04-04,6.95,7.04,6.91,6.88,2488979.5,-1.0
2019-04-08,6.95,6.97,6.77,6.7,2337266.5,-2.03
2019-04-09,6.74,6.88,6.8,6.7,1540480.75,0.44
2019-04-10,6.79,6.85,6.77,6.67,1728834.0,-0.44
2019-04-11,6.77,6.77,6.62,6.61,1575855.88,-2.22
2019-04-12,6.63,6.66,6.62,6.58,1084140.75,0.0
2019-04-15,6.7,6.78,6.59,6.59,1745138.12,-0.45
2019-04-16,6.61,6.93,6.93,6.58,3672872.25,5.16
2019-04-17,6.94,6.95,6.85,6.81,2356737.75,-1.15
2019-04-18,6.84,7.07,6.87,6.8,2756858.5,0.29
2019-04-19,6.81,7.15,7.15,6.8,4651442.5,4.08
2019-04-22,7.18,7.48,7.23,7.11,6404830.5,1.12
2019-04-23,7.29,7.32,7.03,6.98,3440253.5,-2.77
2019-04-24,7.08,7.19,7.1,6.97,2631197.75,1.0
2019-04-25,7.06,7.07,6.82,6.78,2981456.5,-3.94
2019-04-26,6.77,6.87,6.71,6.69,1846716.5,-1.61
2019-04-29,6.73,6.86,6.71,6.6,2209013.25,0.0
2019-04-30,6.65,6.76,6.67,6.63,1463166.0,-0.6
2019-05-06,6.45,6.45,6.06,6.0,2932008.0,-9.14
2019-05-07,6.12,6.16,6.08,5.94,1845030.75,0.33
2019-05-08,5.95,6.06,5.97,5.9,1671797.75,-1.81
2019-05-09,5.91,5.96,5.82,5.75,1484250.75,-2.51
2019-05-10,5.88,6.09,6.07,5.75,2351583.25,4.3
2019-05-13,5.97,6.02,5.95,5.91,1125641.12,-1.98
2019-05-14,5.87,6.06,5.99,5.83,1486147.12,0.67
2019-05-15,6.04,6.12,6.09,6.02,1587348.0,1.67
2019-05-16,6.08,6.09,6.03,5.97,1460377.88,-0.98
2019-05-17,6.01,6.06,5.85,5.83,1481678.62,-2.98
2019-05-20,5.82,5.95,5.88,5.79,1162447.5,0.51
2019-05-21,5.88,6.07,6.02,5.84,1649401.88,2.38
2019-05-22,6.0,6.07,5.96,5.93,1163143.88,-1.0
2019-05-23,5.93,5.93,5.84,5.82,1075174.88,-2.01
2019-05-24,5.82,5.87,5.72,5.71,1105691.12,-2.06
2019-05-27,5.75,5.89,5.86,5.73,1099620.12,2.45
2019-05-28,5.87,6.06,6.05,5.85,2033618.0,3.24
2019-05-29,5.93,6.03,5.97,5.9,1206172.88,-1.32
2019-05-30,5.93,5.95,5.93,5.86,901540.88,-0.67
2019-05-31,5.92,5.98,5.93,5.89,768703.62,0.0
2019-06-03,5.94,6.24,6.09,5.91,2559986.5,2.7
2019-06-04,6.16,6.29,6.13,6.09,2197948.75,0.66
2019-06-05,6.2,6.45,6.33,6.17,3051367.75,3.26
2019-06-06,6.38,6.38,6.08,6.04,2849320.75,-3.95
2019-06-10,6.12,6.26,6.17,6.1,1753976.5,1.48
2019-06-11,6.18,6.3,6.28,6.03,2563425.5,1.78
2019-06-12,6.23,6.27,6.18,6.16,1482848.38,-1.59
2019-06-13,6.18,6.22,6.16,6.13,1138601.0,-0.32
2019-06-14,6.17,6.18,6.07,6.04,1263494.25,-1.46
2019-06-17,6.05,6.1,6.07,6.03,627213.69,0.0
2019-06-18,6.08,6.1,6.07,6.01,697326.5,0.0
2019-06-19,6.2,6.25,6.1,6.08,1570029.0,0.49
